# jonquera scenario; 30 hours of prediction; ignition from central polygon; single core execution; scenario.ini: landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 12:00:00;EndDate=2019-07-23 18:30:00;hoursOfSimulation=30
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 102 13 13 3 43 77 16 164 43 76 0.282031 0 0 0 0 0 0 0 0 0 0 0 185.14 213300 38968 99% 20339 0 1.297042 
0 103 14 6 9 61 74 9 283 42 83 1.427922 0 0 0 0 0 0 0 0 0 0 0 22.28 69840 36200 99% 2875 0 1.090044 
0 104 7 13 11 42 70 1 357 32 68 0.652573 0 0 0 0 0 0 0 0 0 0 0 20.95 45572 35800 99% 2639 0 1.023364 
0 105 5 5 10 46 95 14 215 36 67 1.221412 0 0 0 0 0 0 0 0 0 0 0 207.44 261212 39728 99% 22654 0 1.546547 
0 106 15 5 0 55 82 15 288 46 52 0.505096 0 0 0 0 0 0 0 0 0 0 0 929.75 574284 39488 100% 92687 0 2.050960 
0 107 14 15 12 62 93 24 44 46 82 0.442278 0 0 0 0 0 0 0 0 0 0 0 110.82 169108 37176 99% 11874 0 1.130769 
0 108 11 4 3 37 90 12 250 46 95 0.566098 0 0 0 0 0 0 0 0 0 0 0 48.01 83548 36736 99% 6132 0 1.109056 
0 109 6 9 3 57 83 16 95 36 88 0.558450 0 0 0 0 0 0 0 0 0 0 0 186.93 209596 38944 100% 20435 0 1.496263 
0 110 5 14 8 37 64 18 94 45 35 1.425057 0 0 0 0 0 0 0 0 0 0 0 1477.08 960652 40240 100% 145930 0 2.462000 
0 111 4 15 3 23 80 14 121 31 68 1.590384 0 0 0 0 0 0 0 0 0 0 0 273.99 283780 39792 100% 29433 0 1.647683 
0 112 14 2 12 32 97 13 299 36 41 0.596223 0 0 0 0 0 0 0 0 0 0 0 1067.28 640348 39800 100% 105484 0 1.971669 
0 113 9 4 12 40 67 2 359 34 65 1.574666 0 0 0 0 0 0 0 0 0 0 0 14.10 54476 35872 99% 1937 0 1.031164 
0 114 14 2 4 55 66 24 151 48 38 1.785296 0 0 0 0 0 0 0 0 0 0 0 2505.24 1446844 40376 100% 245869 0 3.130057 
0 115 2 10 0 63 100 10 148 34 69 0.581667 0 0 0 0 0 0 0 0 0 0 0 109.12 161840 37720 99% 12131 0 1.315005 
0 116 7 4 12 57 81 15 124 47 34 0.323170 0 0 0 0 0 0 0 0 0 0 0 1009.11 760060 39448 100% 100521 0 3.119183 
0 117 3 2 0 63 95 14 28 46 94 0.764707 0 0 0 0 0 0 0 0 0 0 0 69.28 130744 37496 99% 8097 0 1.475744 
